"profile","Park","year","rate_percent"
1,"Haynisisoos Park, North Beach","97",NA
1,"Haynisisoos Park, North Beach","98",7.77079752717035
1,"Haynisisoos Park, North Beach","99",-0.85733289404206
2,"Santiago, North Beach","97",NA
2,"Santiago, North Beach","98",4.67109876469983
2,"Santiago, North Beach","99",8.13733716278512
2,"Santiago, North Beach","10",-4.7789899855287
2,"Santiago, North Beach","11",13.0913577252355
2,"Santiago, North Beach","12",-7.45823654723776
2,"Santiago, North Beach","13",-4.14415974352264
2,"Santiago, North Beach","14",1.9581409188508
2,"Santiago, North Beach","15",1.59828309002946
2,"Santiago, North Beach","16",1.97020702662136
2,"Santiago, North Beach","17",-0.22988670000077
2,"Santiago, North Beach","18",-0.0880288371107185
2,"Santiago, North Beach","19",7.55443668000291
3,"L443, North Beach","97",NA
3,"L443, North Beach","98",18.3667843361007
3,"L443, North Beach","99",-0.587122439792478
3,"L443, North Beach","10",-0.239396899133011
3,"L443, North Beach","11",14.4908801999968
3,"L443, North Beach","12",-11.0204825060456
3,"L443, North Beach","13",4.49478172783162
3,"L443, North Beach","14",-1.44527718474206
3,"L443, North Beach","15",4.92117448535173
3,"L443, North Beach","16",4.09020114320573
3,"L443, North Beach","17",-9.76510521808488
3,"L443, North Beach","18",5.39226625922835
3,"L443, North Beach","19",3.97869139481506
4,"B1, North Beach","97",NA
4,"B1, North Beach","98",16.5907687263246
4,"B1, North Beach","99",-0.319952641268244
4,"B1, North Beach","10",-0.694872039514302
4,"B1, North Beach","11",5.69831818487171
4,"B1, North Beach","12",0.0459754446511161
4,"B1, North Beach","13",1.45507451347683
4,"B1, North Beach","14",-1.35060282384612
4,"B1, North Beach","15",1.97093925176296
4,"B1, North Beach","16",2.4745554914624
4,"B1, North Beach","17",-2.65552174142411
4,"B1, North Beach","18",-1.58143973600346
4,"B1, North Beach","19",3.14585306990797
5,"A1.5, North Beach","97",NA
5,"A1.5, North Beach","98",10.9688221011777
5,"A1.5, North Beach","99",9.93127630868016
5,"A1.5, North Beach","10",-5.54319270180521
5,"A1.5, North Beach","11",5.69631620803112
5,"A1.5, North Beach","12",-0.584658380755173
5,"A1.5, North Beach","13",-0.0955216035007323
5,"A1.5, North Beach","14",-0.992190553326817
5,"A1.5, North Beach","15",2.81654352155445
5,"A1.5, North Beach","16",3.77828596028822
5,"A1.5, North Beach","17",-12.7747643202709
5,"A1.5, North Beach","18",5.78946978721307
5,"A1.5, North Beach","19",2.16146045613856
6,"Moclips, North Beach","97",NA
6,"Moclips, North Beach","98",12.9436780520908
6,"Moclips, North Beach","99",6.46733632408175
6,"Moclips, North Beach","10",-11.3398010145849
6,"Moclips, North Beach","11",18.0425247290139
6,"Moclips, North Beach","12",-3.2048178692483
6,"Moclips, North Beach","13",3.47780595327026
6,"Moclips, North Beach","14",2.54878304218831
6,"Moclips, North Beach","15",-7.26705411115231
6,"Moclips, North Beach","16",4.26371032485129
6,"Moclips, North Beach","17",-9.47720406316552
6,"Moclips, North Beach","18",7.98404357612836
6,"Moclips, North Beach","19",3.79569232321611
7,"Pacific Beach, North Beach","97",NA
7,"Pacific Beach, North Beach","98",20.1527168549081
7,"Pacific Beach, North Beach","99",-2.60747159058989
7,"Pacific Beach, North Beach","10",-8.9013684448462
7,"Pacific Beach, North Beach","11",8.10192391935979
7,"Pacific Beach, North Beach","12",2.99014394049353
7,"Pacific Beach, North Beach","13",6.09174613250503
7,"Pacific Beach, North Beach","14",-2.98617487803262
7,"Pacific Beach, North Beach","15",2.69628137598477
7,"Pacific Beach, North Beach","16",-8.89645922184222
7,"Pacific Beach, North Beach","17",-1.09170518643978
7,"Pacific Beach, North Beach","18",0.487530212912915
7,"Pacific Beach, North Beach","19",7.63206641942213
8,"Roosevelt Beach Rd OBA, North Beach","97",NA
8,"Roosevelt Beach Rd OBA, North Beach","98",15.267509385374
8,"Roosevelt Beach Rd OBA, North Beach","99",-1.37146510998685
8,"Roosevelt Beach Rd OBA, North Beach","10",-6.13286935855423
8,"Roosevelt Beach Rd OBA, North Beach","11",12.8112150381297
8,"Roosevelt Beach Rd OBA, North Beach","12",-3.39196575834746
8,"Roosevelt Beach Rd OBA, North Beach","13",2.50616041834545
8,"Roosevelt Beach Rd OBA, North Beach","14",-3.46815953158754
