"profile","Park","Region","year","quartile","rate_of_change","profile_direction"
1,"Haynisisoos Park"," North Beach","97","rate_min_dist_to_BP",NA,NA
1,"Haynisisoos Park"," North Beach","97","rate_q1_dist_to_BP",NA,NA
1,"Haynisisoos Park"," North Beach","97","rate_med_dist_to_BP",NA,NA
1,"Haynisisoos Park"," North Beach","97","rate_q3_dist_to_BP",NA,NA
1,"Haynisisoos Park"," North Beach","97","rate_max_dist_to_BP",NA,NA
1,"Haynisisoos Park"," North Beach","98","rate_min_dist_to_BP",-0.535474616197973,"Erosion"
1,"Haynisisoos Park"," North Beach","98","rate_q1_dist_to_BP",4.16820413497221,"Accretion"
1,"Haynisisoos Park"," North Beach","98","rate_med_dist_to_BP",8.42552826959508,"Accretion"
1,"Haynisisoos Park"," North Beach","98","rate_q3_dist_to_BP",12.2962348185014,"Accretion"
1,"Haynisisoos Park"," North Beach","98","rate_max_dist_to_BP",15.8300878629692,"Accretion"
1,"Haynisisoos Park"," North Beach","98","mean",7.46452538380203,"Accretion"
1,"Haynisisoos Park"," North Beach","99","rate_min_dist_to_BP",-0.368448673196997,"Erosion"
1,"Haynisisoos Park"," North Beach","99","rate_q1_dist_to_BP",-0.631558171437085,"Erosion"
1,"Haynisisoos Park"," North Beach","99","rate_med_dist_to_BP",-0.850045177124359,"Erosion"
1,"Haynisisoos Park"," North Beach","99","rate_q3_dist_to_BP",-1.03430702199626,"Erosion"
1,"Haynisisoos Park"," North Beach","99","rate_max_dist_to_BP",-1.19176058105053,"Erosion"
1,"Haynisisoos Park"," North Beach","99","mean",-0.368448673196997,"Erosion"
2,"Santiago"," North Beach","97","rate_min_dist_to_BP",NA,NA
2,"Santiago"," North Beach","97","rate_q1_dist_to_BP",NA,NA
2,"Santiago"," North Beach","97","rate_med_dist_to_BP",NA,NA
2,"Santiago"," North Beach","97","rate_q3_dist_to_BP",NA,NA
2,"Santiago"," North Beach","97","rate_max_dist_to_BP",NA,NA
2,"Santiago"," North Beach","98","rate_min_dist_to_BP",7.91801884376644,"Accretion"
2,"Santiago"," North Beach","98","rate_q1_dist_to_BP",6.65269001226194,"Accretion"
2,"Santiago"," North Beach","98","rate_med_dist_to_BP",4.89998175177764,"Accretion"
2,"Santiago"," North Beach","98","rate_q3_dist_to_BP",2.31697691610042,"Accretion"
2,"Santiago"," North Beach","98","rate_max_dist_to_BP",-1.84861869082273,"Erosion"
2,"Santiago"," North Beach","98","mean",3.41801884376644,"Accretion"
2,"Santiago"," North Beach","99","rate_min_dist_to_BP",12.5679426538,"Accretion"
2,"Santiago"," North Beach","99","rate_q1_dist_to_BP",11.025786997338,"Accretion"
2,"Santiago"," North Beach","99","rate_med_dist_to_BP",8.85815511053154,"Accretion"
2,"Santiago"," North Beach","99","rate_q3_dist_to_BP",5.58880124710885,"Accretion"
2,"Santiago"," North Beach","99","rate_max_dist_to_BP",0.0962439895143552,"Accretion"
2,"Santiago"," North Beach","99","mean",6.56794265379999,"Accretion"
2,"Santiago"," North Beach","10","rate_min_dist_to_BP",-9.24351003656263,"Erosion"
2,"Santiago"," North Beach","10","rate_q1_dist_to_BP",-7.33336417582366,"Erosion"
2,"Santiago"," North Beach","10","rate_med_dist_to_BP",-4.56101932857793,"Erosion"
2,"Santiago"," North Beach","10","rate_q3_dist_to_BP",-0.173501528507991,"Erosion"
2,"Santiago"," North Beach","10","rate_max_dist_to_BP",7.81644088058602,"Accretion"
2,"Santiago"," North Beach","10","mean",-0.743510036562629,"Erosion"
2,"Santiago"," North Beach","11","rate_min_dist_to_BP",21.9927373882649,"Accretion"
2,"Santiago"," North Beach","11","rate_q1_dist_to_BP",19.0805518146798,"Accretion"
2,"Santiago"," North Beach","11","rate_med_dist_to_BP",15.0633554760259,"Accretion"
2,"Santiago"," North Beach","11","rate_q3_dist_to_BP",9.16661236272132,"Accretion"
2,"Santiago"," North Beach","11","rate_max_dist_to_BP",-0.324583552709334,"Erosion"
2,"Santiago"," North Beach","11","mean",10.9927373882649,"Accretion"
2,"Santiago"," North Beach","12","rate_min_dist_to_BP",-9.6080652523851,"Erosion"
2,"Santiago"," North Beach","12","rate_q1_dist_to_BP",-8.52491191947294,"Erosion"
2,"Santiago"," North Beach","12","rate_med_dist_to_BP",-6.94059086290624,"Erosion"
2,"Santiago"," North Beach","12","rate_q3_dist_to_BP",-4.40337091089779,"Erosion"
2,"Santiago"," North Beach","12","rate_max_dist_to_BP",0.311996087818178,"Accretion"
2,"Santiago"," North Beach","12","mean",-5.1080652523851,"Erosion"
2,"Santiago"," North Beach","13","rate_min_dist_to_BP",-5.54794522501736,"Erosion"
2,"Santiago"," North Beach","13","rate_q1_dist_to_BP",-4.8998277814404,"Erosion"
2,"Santiago"," North Beach","13","rate_med_dist_to_BP",-3.97925313692916,"Erosion"
2,"Santiago"," North Beach","13","rate_q3_dist_to_BP",-2.5691166296105,"Erosion"
2,"Santiago"," North Beach","13","rate_max_dist_to_BP",-0.139310252341895,"Erosion"
2,"Santiago"," North Beach","13","mean",-3.04794522501736,"Erosion"
2,"Santiago"," North Beach","14","rate_min_dist_to_BP",0.952785136301615,"Accretion"
