"profile","Park","shoreline_profile","WCEHA","mean_reach_change_rate","reach_delineation","zone_name","zone_description"
"1","Haynisisoos Park, North Beach","Non Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"2","Santiago, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"3","L443, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"4","B1, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"5","A1.5, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"6","Moclips, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"7","Pacific Beach, North Beach","Non Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"8","Roosevelt Beach Rd OBA, North Beach","Non Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"9","Griffiths-Priday State Park, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"10","Ocean City OBA, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"48","Quinault Beach, North Beach","Non Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"11","Ocean Shores SR 115 OBA, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"12","Ocean Shores Pacific Blvd OBA, North Beach","Significant Accretion","Accreted",3.09677258781566,"A","North Beach Accretion Zone"," Relatively stable and steady accretion"
"13","Ocean Shores Butter Clam St OBA, North Beach","Significant Accretion","Accreted",2.59062788135166,"B1","North Beach Transition Zone"," Marks a transition between steady accretion decreased rates of accertion"
"14","Ocean Shores North Jetty North, North Beach","Significant Accretion","Erosion",1.42331008835277,"B2","North Jetty Dynamic Zone"," An area of shifting erosion and accretion, influenced by the shoreline armor at the entrance to North Bay, and defies broad characterization due to many environmental and manmade factors"
"15","Ocean Shores North Jetty South, North Beach","Significant Accretion","Erosion",1.42331008835277,"B2","North Jetty Dynamic Zone"," An area of shifting erosion and accretion, influenced by the shoreline armor at the entrance to North Bay, and defies broad characterization due to many environmental and manmade factors"
