"profile","Park","year","rate_percent"
2,"Santiago, North Beach","98",NA
2,"Santiago, North Beach","99",24.6490368145086
2,"Santiago, North Beach","10",21.0605734836162
2,"Santiago, North Beach","12",2.52241905597618
2,"Santiago, North Beach","14",-16.2677022977552
2,"Santiago, North Beach","15",5.85102987380336
2,"Santiago, North Beach","16",-0.395874844792453
2,"Santiago, North Beach","18",-4.37293660080187
2,"Santiago, North Beach","19",7.1561545208324
3,"L443, North Beach","98",NA
3,"L443, North Beach","99",25.8490305084589
3,"L443, North Beach","10",21.8786265453665
3,"L443, North Beach","11",-8.57785409105658
3,"L443, North Beach","12",10.3083131909369
3,"L443, North Beach","14",-16.9662018149308
3,"L443, North Beach","15",6.0886125780528
3,"L443, North Beach","16",-0.417661285191346
3,"L443, North Beach","17",7.25916058555807
3,"L443, North Beach","18",-12.7438848620797
3,"L443, North Beach","19",7.44052305779033
4,"B1, North Beach","98",NA
4,"B1, North Beach","10",42.7383879852118
4,"B1, North Beach","11",-8.72673328692233
4,"B1, North Beach","12",10.4678115354113
4,"B1, North Beach","13",-7.08830418243546
4,"B1, North Beach","14",-9.50796035490703
4,"B1, North Beach","15",6.19132854236182
4,"B1, North Beach","16",-0.426043725160932
4,"B1, North Beach","17",7.37370302295721
4,"B1, North Beach","18",-12.9706437552879
4,"B1, North Beach","19",7.56292044291011
5,"A1.5, North Beach","98",NA
5,"A1.5, North Beach","99",27.2787792972741
5,"A1.5, North Beach","10",22.8210865733847
5,"A1.5, North Beach","11",-8.98093218566414
5,"A1.5, North Beach","13",4.23667281747012
5,"A1.5, North Beach","15",-2.80392946786087
5,"A1.5, North Beach","16",-0.439669172104086
5,"A1.5, North Beach","17",7.5690382012169
5,"A1.5, North Beach","18",-13.3596903922123
5,"A1.5, North Beach","19",7.77215126813134
6,"Moclips, North Beach","98",NA
6,"Moclips, North Beach","99",28.5776170865609
6,"Moclips, North Beach","10",23.6572319943455
6,"Moclips, North Beach","11",-9.3410401856803
6,"Moclips, North Beach","13",4.39938457540752
6,"Moclips, North Beach","15",-2.91118405209137
6,"Moclips, North Beach","16",-0.459100540381439
6,"Moclips, North Beach","17",7.84402896191456
6,"Moclips, North Beach","18",-13.9118930053476
6,"Moclips, North Beach","19",8.06750563947758
7,"Pacific Beach, North Beach","99",NA
7,"Pacific Beach, North Beach","10",25.3282007000617
7,"Pacific Beach, North Beach","11",-10.0680174131933
7,"Pacific Beach, North Beach","12",11.8806512932677
7,"Pacific Beach, North Beach","13",-8.11880758183192
7,"Pacific Beach, North Beach","14",-11.0254992487982
7,"Pacific Beach, North Beach","15",7.11601207604199
7,"Pacific Beach, North Beach","16",-0.499665502027656
