"profile","Park","year","euc_dist_to_BP"
1,"Haynisisoos Park, North Beach","97",334.835582749176
1,"Haynisisoos Park, North Beach","98",365.611623506402
1,"Haynisisoos Park, North Beach","99",356.460109738775
2,"Santiago, North Beach","97",466.142040132292
2,"Santiago, North Beach","98",494.649709305166
2,"Santiago, North Beach","99",529.822634838014
2,"Santiago, North Beach","10",511.066635919143
2,"Santiago, North Beach","11",588.281765389423
2,"Santiago, North Beach","12",547.36094940971
2,"Santiago, North Beach","13",525.489374465085
2,"Santiago, North Beach","14",535.938028490875
2,"Santiago, North Beach","15",544.611482682549
2,"Santiago, North Beach","16",555.838194561788
2,"Santiago, North Beach","17",553.907547593193
2,"Santiago, North Beach","18",553.746578371093
2,"Santiago, North Beach","19",599.46700796099
3,"L443, North Beach","97",435.519716805053
3,"L443, North Beach","98",535.005841478326
3,"L443, North Beach","99",529.296308953631
3,"L443, North Beach","10",528.317482542396
3,"L443, North Beach","11",618.056694433386
3,"L443, North Beach","12",556.382761853702
3,"L443, North Beach","13",582.65243148377
3,"L443, North Beach","14",574.537868682256
3,"L443, North Beach","15",604.258384456459
3,"L443, North Beach","16",630.041867010389
3,"L443, North Beach","17",573.937035283456
3,"L443, North Beach","18",606.697659514126
3,"L443, North Beach","19",631.740247171183
4,"B1, North Beach","97",470.228925465806
4,"B1, North Beach","98",562.568531611688
4,"B1, North Beach","99",568.031396709505
4,"B1, North Beach","10",558.516964926519
4,"B1, North Beach","11",592.199351764893
4,"B1, North Beach","12",592.464293607389
4,"B1, North Beach","13",601.196408028822
4,"B1, North Beach","14",593.123335949385
4,"B1, North Beach","15",605.255118404405
4,"B1, North Beach","16",620.39419242906
4,"B1, North Beach","17",604.384597832157
4,"B1, North Beach","18",594.732554040675
4,"B1, North Beach","19",614.360579682431
5,"A1.5, North Beach","97",441.866865510801
5,"A1.5, North Beach","98",497.790576781401
5,"A1.5, North Beach","99",553.927123106806
5,"A1.5, North Beach","10",522.626355692441
5,"A1.5, North Beach","11",554.516450439799
5,"A1.5, North Beach","12",551.100686977764
5,"A1.5, North Beach","13",550.572530146889
5,"A1.5, North Beach","14",545.197573908168
5,"A1.5, North Beach","15",561.052937817247
5,"A1.5, North Beach","16",582.831417194001
5,"A1.5, North Beach","17",517.007966059851
5,"A1.5, North Beach","18",548.62869697852
5,"A1.5, North Beach","19",560.955417797498
6,"Moclips, North Beach","97",421.991433439821
6,"Moclips, North Beach","98",486.305980528316
6,"Moclips, North Beach","99",519.594104762168
6,"Moclips, North Beach","10",466.098525312626
6,"Moclips, North Beach","11",568.783790729488
6,"Moclips, North Beach","12",550.860901105362
6,"Moclips, North Beach","13",570.808308867888
6,"Moclips, North Beach","14",585.657719100151
6,"Moclips, North Beach","15",546.101509122243
6,"Moclips, North Beach","16",570.353878047307
6,"Moclips, North Beach","17",520.972338840165
6,"Moclips, North Beach","18",566.15581922259
6,"Moclips, North Beach","19",588.549551325662
7,"Pacific Beach, North Beach","97",437.327040312352
7,"Pacific Beach, North Beach","98",547.291305039962
7,"Pacific Beach, North Beach","99",533.207800176788
7,"Pacific Beach, North Beach","10",490.007656137491
7,"Pacific Beach, North Beach","11",533.176981304862
7,"Pacific Beach, North Beach","12",549.635814571201
7,"Pacific Beach, North Beach","13",585.226200377538
7,"Pacific Beach, North Beach","14",568.244243298023
7,"Pacific Beach, North Beach","15",583.813907199323
7,"Pacific Beach, North Beach","16",536.436224396123
7,"Pacific Beach, North Beach","17",530.493075560216
7,"Pacific Beach, North Beach","18",533.130066210271
7,"Pacific Beach, North Beach","19",577.154245285771
8,"Roosevelt Beach Rd OBA, North Beach","97",437.052001451049
8,"Roosevelt Beach Rd OBA, North Beach","98",516.085698070942
8,"Roosevelt Beach Rd OBA, North Beach","99",508.934741105748
8,"Roosevelt Beach Rd OBA, North Beach","10",479.290038070217
8,"Roosevelt Beach Rd OBA, North Beach","11",549.683706395186
8,"Roosevelt Beach Rd OBA, North Beach","12",531.662472824029
8,"Roosevelt Beach Rd OBA, North Beach","13",545.2552290775
8,"Roosevelt Beach Rd OBA, North Beach","14",526.998491091176
8,"Roosevelt Beach Rd OBA, North Beach","15",537.860228222315
8,"Roosevelt Beach Rd OBA, North Beach","16",512.640500499484
8,"Roosevelt Beach Rd OBA, North Beach","17",541.096388774097
8,"Roosevelt Beach Rd OBA, North Beach","18",508.124131313784
8,"Roosevelt Beach Rd OBA, North Beach","19",523.974475050436
9,"Griffiths-Priday State Park, North Beach","97",469.061107476459
9,"Griffiths-Priday State Park, North Beach","98",495.821216388572
9,"Griffiths-Priday State Park, North Beach","99",506.119801604367
9,"Griffiths-Priday State Park, North Beach","10",524.953089194653
9,"Griffiths-Priday State Park, North Beach","11",592.542437538488
9,"Griffiths-Priday State Park, North Beach","12",584.524281315167
9,"Griffiths-Priday State Park, North Beach","13",608.174577718482
9,"Griffiths-Priday State Park, North Beach","14",611.105495850781
9,"Griffiths-Priday State Park, North Beach","15",602.386615144302
9,"Griffiths-Priday State Park, North Beach","16",562.007881525732
9,"Griffiths-Priday State Park, North Beach","17",605.415497285983
9,"Griffiths-Priday State Park, North Beach","18",569.057229850409
9,"Griffiths-Priday State Park, North Beach","19",599.562725215658
10,"Ocean City OBA, North Beach","97",364.85709930396
10,"Ocean City OBA, North Beach","98",376.521958606001
10,"Ocean City OBA, North Beach","99",367.020790231954
10,"Ocean City OBA, North Beach","10",497.245828099653
10,"Ocean City OBA, North Beach","11",553.759938251659
10,"Ocean City OBA, North Beach","12",572.22956889038
10,"Ocean City OBA, North Beach","13",529.72858806422
10,"Ocean City OBA, North Beach","14",512.664482105499
10,"Ocean City OBA, North Beach","15",569.210387565533
10,"Ocean City OBA, North Beach","16",596.70037121868
10,"Ocean City OBA, North Beach","17",523.668783022729
10,"Ocean City OBA, North Beach","18",545.54677811579
10,"Ocean City OBA, North Beach","19",573.3641508348
11,"Ocean Shores SR 115 OBA, North Beach","97",398.720080028345
11,"Ocean Shores SR 115 OBA, North Beach","98",400.706229079109
11,"Ocean Shores SR 115 OBA, North Beach","99",406.383341319244
11,"Ocean Shores SR 115 OBA, North Beach","10",516.48586556343
11,"Ocean Shores SR 115 OBA, North Beach","11",584.883530839105
11,"Ocean Shores SR 115 OBA, North Beach","12",587.580902961299
11,"Ocean Shores SR 115 OBA, North Beach","13",608.803112493529
11,"Ocean Shores SR 115 OBA, North Beach","14",585.877775416346
11,"Ocean Shores SR 115 OBA, North Beach","15",585.2270363729
11,"Ocean Shores SR 115 OBA, North Beach","16",599.760723701377
11,"Ocean Shores SR 115 OBA, North Beach","17",580.177065385035
11,"Ocean Shores SR 115 OBA, North Beach","18",611.024335872788
11,"Ocean Shores SR 115 OBA, North Beach","19",607.604112861984
12,"Ocean Shores Pacific Blvd OBA, North Beach","97",376.51940795377
12,"Ocean Shores Pacific Blvd OBA, North Beach","98",381.518601302541
12,"Ocean Shores Pacific Blvd OBA, North Beach","99",386.153368212505
12,"Ocean Shores Pacific Blvd OBA, North Beach","10",484.036749276179
12,"Ocean Shores Pacific Blvd OBA, North Beach","11",562.241094698561
