"profile","Park","year","quartile","rate_of_change","profile_direction"
"1","Haynisisoos Park, North Beach","97","yearly_ROC_min_dist_to_BP",NA,NA
"1","Haynisisoos Park, North Beach","97","yearly_ROC_q1_dist_to_BP",NA,NA
"1","Haynisisoos Park, North Beach","97","yearly_ROC_med_dist_to_BP",NA,NA
"1","Haynisisoos Park, North Beach","97","yearly_ROC_q3_dist_to_BP",NA,NA
"1","Haynisisoos Park, North Beach","97","yearly_ROC_max_dist_to_BP",NA,NA
"1","Haynisisoos Park, North Beach","98","yearly_ROC_min_dist_to_BP",-0.535474616197974,"Erosion"
"1","Haynisisoos Park, North Beach","98","yearly_ROC_q1_dist_to_BP",4.1682041349722,"Accretion"
"1","Haynisisoos Park, North Beach","98","yearly_ROC_med_dist_to_BP",8.42552826959508,"Accretion"
"1","Haynisisoos Park, North Beach","98","yearly_ROC_q3_dist_to_BP",12.2962348185014,"Accretion"
"1","Haynisisoos Park, North Beach","98","yearly_ROC_max_dist_to_BP",15.8300878629692,"Accretion"
"1","Haynisisoos Park, North Beach","98","mean",7.46452538380203,"Accretion"
"1","Haynisisoos Park, North Beach","99","yearly_ROC_min_dist_to_BP",-0.368448673196995,"Erosion"
"1","Haynisisoos Park, North Beach","99","yearly_ROC_q1_dist_to_BP",-0.631558171437089,"Erosion"
"1","Haynisisoos Park, North Beach","99","yearly_ROC_med_dist_to_BP",-0.850045177124355,"Erosion"
"1","Haynisisoos Park, North Beach","99","yearly_ROC_q3_dist_to_BP",-1.03430702199626,"Erosion"
"1","Haynisisoos Park, North Beach","99","yearly_ROC_max_dist_to_BP",-1.19176058105052,"Erosion"
"1","Haynisisoos Park, North Beach","99","mean",-0.368448673196995,"Erosion"
"2","Santiago, North Beach","97","yearly_ROC_min_dist_to_BP",NA,NA
"2","Santiago, North Beach","97","yearly_ROC_q1_dist_to_BP",NA,NA
"2","Santiago, North Beach","97","yearly_ROC_med_dist_to_BP",NA,NA
"2","Santiago, North Beach","97","yearly_ROC_q3_dist_to_BP",NA,NA
"2","Santiago, North Beach","97","yearly_ROC_max_dist_to_BP",NA,NA
