"profile","Park","year","min_dist_to_BP","q1_dist_to_BP","med_dist_to_BP","q3_dist_to_BP","max_dist_to_BP"
1,"Haynisisoos Park, North Beach","97",301.111220519066,317.135410024298,333.164963290997,349.199141669491,365.23733602326
1,"Haynisisoos Park, North Beach","98",299.498846366663,330.354261298392,361.235871457466,392.137488113363,423.05472722411
1,"Haynisisoos Park, North Beach","99",298.395346840984,328.267881966471,358.165203354099,388.081582537927,418.012927748782
2,"Santiago, North Beach","97",639.535742938988,554.209017065463,469.027234805893,384.086843924015,299.593231989995
2,"Santiago, North Beach","98",690.174303577519,591.078824990832,492.009483722249,392.986047435513,294.054895506988
2,"Santiago, North Beach","99",776.915014262405,656.24991722069,535.592446948892,414.949256555553,294.337905669786
2,"Santiago, North Beach","10",705.100796943498,608.124720887356,511.163971921149,414.229313252896,317.34465405562
2,"Santiago, North Beach","11",860.171763537844,724.158273354145,588.162418077005,452.200108691552,316.314605503153
2,"Santiago, North Beach","12",777.525899214536,662.424418393128,547.340471028904,432.28806064638,317.30149469752
2,"Santiago, North Beach","13",734.38918821579,629.966762709656,525.560408165804,421.182076192493,316.859461184573
2,"Santiago, North Beach","14",741.386339243716,638.714207218551,536.057162819401,433.425926703389,330.844517695136
2,"Santiago, North Beach","15",773.890810715315,659.31893372116,544.764034259534,430.239673772785,315.779080940142
2,"Santiago, North Beach","16",786.236721586175,670.967209541346,555.71272542366,440.485065722836,325.312735780306
2,"Santiago, North Beach","17",790.116737220879,672.269736604163,554.438145866581,436.634440866652,318.889527627904
2,"Santiago, North Beach","18",766.587356277753,660.262123762205,553.950509674746,447.662216505649,341.41902528786
2,"Santiago, North Beach","19",855.437037882559,727.320259176508,599.218058477577,471.142327086465,343.122706489997
3,"L443, North Beach","97",580.016030641295,507.462809946574,434.929625275473,362.428506316793,289.983505091584
3,"L443, North Beach","98",777.32468657656,655.051253518109,532.785119069874,410.532804366892,288.311889822137
3,"L443, North Beach","99",768.741880801499,649.15912735213,529.675276662555,410.376726371194,291.491079011585
3,"L443, North Beach","10",740.282640137322,634.345284799285,528.410278840311,422.479389556071,316.556749720795
3,"L443, North Beach","11",909.56427837253,763.75971248715,617.957803888295,472.161014268708,326.376203858221
3,"L443, North Beach","12",787.865470274841,672.239539069888,556.616031509901,440.996853941441,325.386622106914
3,"L443, North Beach","13",813.644311421634,698.227285072226,582.812166266843,467.400368096545,351.995156875429
3,"L443, North Beach","14",801.332967480588,687.919955264547,574.508919922889,461.1013201354,347.700517586773
3,"L443, North Beach","15",869.431134476502,736.836950447588,604.244863999059,471.656644149218,339.076826762733
3,"L443, North Beach","16",908.119679432922,769.065557814437,630.013691198826,490.965995582072,351.92741492558
3,"L443, North Beach","17",796.3173643735,685.140249701703,573.965369000553,462.794332241245,351.630785326607
3,"L443, North Beach","18",863.238687820753,734.957751337574,606.679122632022,478.404658118681,350.138934520861
3,"L443, North Beach","19",912.820666900815,772.317654436083,631.817178337499,491.321414541829,350.83602436003
4,"B1, North Beach","97",641.875338673192,556.188913943401,470.516815231303,384.868609609022,299.264812055208
4,"B1, North Beach","98",828.377730598214,696.123142940742,564.106404107097,432.545349763324,302.036030101415
4,"B1, North Beach","99",829.11743343956,695.67429710857,562.307287090009,429.087392968411,296.213174466086
4,"B1, North Beach","10",790.665518767932,674.541909494416,558.42693446132,442.327393421536,326.25976335132
4,"B1, North Beach","11",865.146647753852,728.653849550584,592.170705455791,455.705889719615,319.282904397185
4,"B1, North Beach","12",862.570916895826,727.502092834015,592.443083797872,457.402584230471,322.40385332709
4,"B1, North Beach","13",865.757582382418,733.469808865789,601.190858761056,468.928199059598,336.701027862886
4,"B1, North Beach","14",836.824276617781,714.997749478425,593.179361553443,471.375423179966,349.601037719596
4,"B1, North Beach","15",881.12151658862,743.108428815995,605.105625847905,467.122223151093,329.182617651453
4,"B1, North Beach","16",903.656805555445,762.053330446104,620.459233892477,478.882835004562,337.346416407118
4,"B1, North Beach","17",871.630293518445,738.015571667213,604.409020934435,470.817597663874,337.259278704779
4,"B1, North Beach","18",859.548160347921,727.269573684859,594.999462997584,462.74509660991,330.525374540394
4,"B1, North Beach","19",890.237944588416,752.277207901574,614.325232173121,476.389628407284,338.490412030586
5,"A1.5, North Beach","97",589.308433061621,515.852871363889,442.407117333166,368.977027734225,295.574277432843
5,"A1.5, North Beach","98",700.24595331103,598.506318607682,496.912573521077,395.57713793714,294.766538838662
5,"A1.5, North Beach","99",813.537854750292,682.546008876966,551.703802558674,421.150727985956,291.275821190346
5,"A1.5, North Beach","10",754.748874165804,638.733993843514,522.727983146598,406.738431272763,290.785034381795
5,"A1.5, North Beach","11",822.372384456152,688.332474303609,554.302824797089,420.293252274394,286.331947517304
5,"A1.5, North Beach","12",815.14305310026,683.10659983131,551.080884222741,419.076054774668,287.120920384496
5,"A1.5, North Beach","13",814.694569854868,682.619600858001,550.554985272656,418.510524539254,286.514086041469
5,"A1.5, North Beach","14",797.680648091346,671.408249005065,545.146097194462,418.903458689888,292.70558259117
5,"A1.5, North Beach","15",829.511299507168,695.222841411795,560.945367605207,426.689248354392,292.483891678098
5,"A1.5, North Beach","16",874.187925229602,728.574582195427,582.971705714677,437.389748559781,291.860016557869
5,"A1.5, North Beach","17",745.51385915012,631.219540404446,516.934536931584,402.666780399985,288.436769298656
5,"A1.5, North Beach","18",812.15571680879,680.423440636628,548.701441085215,416.999456820746,285.345203546861
5,"A1.5, North Beach","19",837.46526722196,699.139299980956,560.823417482872,422.527523672827,284.28079212216
6,"Moclips, North Beach","97",555.19390963543,488.836080726059,422.478580914425,356.121594166774,289.765472961909
6,"Moclips, North Beach","98",683.745727332474,584.488671197046,485.293395656226,386.207507662662,287.34419096276
6,"Moclips, North Beach","99",746.500516962522,632.640768334051,518.849112795207,405.182924239914,291.788866305706
6,"Moclips, North Beach","10",639.376273617792,552.688891329105,466.005065634382,379.327234799015,292.660725394893
6,"Moclips, North Beach","11",837.403842592001,702.996811140442,568.593729972247,434.198267451839,299.82066899547
6,"Moclips, North Beach","12",796.105205645013,673.518932165505,550.937196258228,428.363893391616,305.809164034701
6,"Moclips, North Beach","13",838.082444580886,704.43301195191,570.788098736649,437.151849944559,303.535709726706
6,"Moclips, North Beach","14",863.331502041909,724.521996664257,585.71674788192,446.919721778881,308.142029828714
6,"Moclips, North Beach","15",791.358290403682,668.695309010843,546.036015191569,423.383613960413,300.746538375425
6,"Moclips, North Beach","16",844.208934820084,707.279434957032,570.354269049252,433.437544472971,296.540953868584
6,"Moclips, North Beach","17",751.684414054839,636.330065485441,520.979937266367,405.637629804071,290.312464902397
6,"Moclips, North Beach","18",835.986866473975,701.08323141104,566.184341840096,431.294650621107,296.426715216727
6,"Moclips, North Beach","19",871.014564984107,729.76641542758,588.52285881241,447.288246202157,306.074959158063
7,"Pacific Beach, North Beach","97",579.978895569376,508.570866669498,437.176814221049,365.80492165681,294.471302290368
7,"Pacific Beach, North Beach","98",800.301829147607,673.909010301205,547.516204686198,421.12342421604,294.730701240201
7,"Pacific Beach, North Beach","99",771.721335172513,652.657236713662,533.602666744212,414.565834489419,295.568171735115
