"","profile","Park","year","euc_dist_to_BP"
"1",6,"Moclips","97",288.613432206463
"2",6,"Moclips","98",353.165915116399
"3",6,"Moclips","99",386.578466194119
"4",6,"Moclips","00",445.242725768796
"5",6,"Moclips","01",441.100862190254
"6",6,"Moclips","02",388.688835252597
"7",6,"Moclips","03",397.641696411487
"8",6,"Moclips","04",435.273050050196
"9",6,"Moclips","05",442.90442354982
"10",6,"Moclips","06",399.871767508061
"11",6,"Moclips","07",401.616244504621
"12",6,"Moclips","08",402.069096549331
"13",6,"Moclips","09",361.349206896898
"14",6,"Moclips","10",332.753462829468
"15",6,"Moclips","11",435.445716766172
"16",6,"Moclips","12",417.547953683177
"17",6,"Moclips","13",437.488207526802
"18",6,"Moclips","14",452.347107871814
"19",6,"Moclips","15",412.772151798051
"20",6,"Moclips","16",437.036753174149
"21",6,"Moclips","17",387.648775891261
"22",6,"Moclips","18",432.839587029655
"23",6,"Moclips","19",455.231040242238
"24",7,"Pacific Beach","97",307.225902268995
"25",7,"Pacific Beach","98",416.61350509193
"26",7,"Pacific Beach","99",402.922495338747
"27",7,"Pacific Beach","00",415.120225958674
"28",7,"Pacific Beach","01",372.865352540292
"29",7,"Pacific Beach","02",417.485815627282
"30",7,"Pacific Beach","03",410.302375145435
"31",7,"Pacific Beach","04",425.57324766128
"32",7,"Pacific Beach","05",401.972639771668
"33",7,"Pacific Beach","06",402.573587217273
"34",7,"Pacific Beach","07",377.09807295317
"35",7,"Pacific Beach","08",370.469934711281
"36",7,"Pacific Beach","09",359.225542834837
"37",7,"Pacific Beach","10",359.975525070795
"38",7,"Pacific Beach","11",403.164012840926
"39",7,"Pacific Beach","12",419.641005265198
"40",7,"Pacific Beach","13",455.232290292517
"41",7,"Pacific Beach","14",438.230249127079
"42",7,"Pacific Beach","15",453.761524371535
"43",7,"Pacific Beach","16",406.480050463737
"44",7,"Pacific Beach","17",400.461732316556
"45",7,"Pacific Beach","18",403.110343516513
"46",7,"Pacific Beach","19",447.159089922162
"47",8,"Pacific Beach","97",387.516608708599
"48",8,"Pacific Beach","98",466.328725257213
"49",8,"Pacific Beach","99",459.11750829719
"50",8,"Pacific Beach","00",475.014854109861
"51",8,"Pacific Beach","01",409.545752816442
"52",8,"Pacific Beach","02",456.643900265832
"53",8,"Pacific Beach","03",447.106410264945
"54",8,"Pacific Beach","04",483.724681223736
"55",8,"Pacific Beach","05",480.834805962511
"56",8,"Pacific Beach","06",471.921302390575
"57",8,"Pacific Beach","07",458.095598674581
"58",8,"Pacific Beach","08",467.558764862798
"59",8,"Pacific Beach","09",450.835626919609
"60",8,"Pacific Beach","10",429.834640414191
"61",8,"Pacific Beach","11",500.36328235093
"62",8,"Pacific Beach","12",482.307792286221
"63",8,"Pacific Beach","13",495.970712567794
"64",8,"Pacific Beach","14",477.673654208625
"65",8,"Pacific Beach","15",488.484839734057
"66",8,"Pacific Beach","16",463.262887705251
"67",8,"Pacific Beach","17",491.776001473246
"68",8,"Pacific Beach","18",458.749480272219
"69",8,"Pacific Beach","19",474.62718161208
"70",9,"Griffiths-Priday","97",325.007820713603
"71",9,"Griffiths-Priday","98",351.133298477955
"72",9,"Griffiths-Priday","99",364.475512277585
"73",9,"Griffiths-Priday","00",386.080332379163
"74",9,"Griffiths-Priday","01",390.050030124334
"75",9,"Griffiths-Priday","02",421.071288798014
"76",9,"Griffiths-Priday","03",385.768925297252
"77",9,"Griffiths-Priday","04",373.887143032499
"78",9,"Griffiths-Priday","05",433.888800558393
"79",9,"Griffiths-Priday","06",418.256444212162
"80",9,"Griffiths-Priday","07",434.923499767517
"81",9,"Griffiths-Priday","08",444.451383083709
"82",9,"Griffiths-Priday","09",412.008848843079
"83",9,"Griffiths-Priday","10",379.201188948538
"84",9,"Griffiths-Priday","11",446.488784769584
"85",9,"Griffiths-Priday","12",438.375271770647
"86",9,"Griffiths-Priday","13",461.886381050603
"87",9,"Griffiths-Priday","14",464.83212488489
"88",9,"Griffiths-Priday","15",456.24289191722
"89",9,"Griffiths-Priday","16",416.009523088127
"90",9,"Griffiths-Priday","17",459.189723807064
"91",9,"Griffiths-Priday","18",422.964214680149
"92",9,"Griffiths-Priday","19",453.52899590324
"93",10,"North Beach","97",494.575218596738
"94",10,"North Beach","98",505.879126496648
"95",10,"North Beach","99",496.311510696654
"96",10,"North Beach","00",545.349196043265
"97",10,"North Beach","01",592.123103860188
"98",10,"North Beach","02",594.357106881046
"99",10,"North Beach","03",576.247949345611
"100",10,"North Beach","04",542.430177995309
"101",10,"North Beach","05",601.327352799635
"102",10,"North Beach","06",650.657991766795
"103",10,"North Beach","07",614.644914991592
"104",10,"North Beach","08",660.109351016948
"105",10,"North Beach","09",636.748127637614
"106",10,"North Beach","10",626.05405926727
"107",10,"North Beach","11",682.63068668204
"108",10,"North Beach","12",701.12660782485
"109",10,"North Beach","13",658.576348231569
"110",10,"North Beach","14",641.474193576807
"111",10,"North Beach","15",698.131049302365
"112",10,"North Beach","16",725.619268504517
"113",10,"North Beach","17",652.472836311997
"114",10,"North Beach","18",674.409456802793
"115",10,"North Beach","19",702.27818350354
"116",16,"Westport Light","97",334.527709502503
"117",16,"Westport Light","98",367.244860072961
"118",16,"Westport Light","99",398.880557466779
"119",16,"Westport Light","00",414.92799550043
"120",16,"Westport Light","01",381.875721963303
"121",16,"Westport Light","02",378.26244890286
"122",16,"Westport Light","03",397.872454594446
"123",16,"Westport Light","04",394.588405461955
"124",16,"Westport Light","05",383.651960017142
"125",16,"Westport Light","06",397.175284037172
"126",16,"Westport Light","07",361.161201750678
"127",16,"Westport Light","08",359.177765528438
"128",16,"Westport Light","09",351.033595899317
"129",16,"Westport Light","10",372.398059373285
"130",16,"Westport Light","11",403.764307114924
